student_id,overall_placement_probability,predicted_salary_lpa,salary_range_min_lpa,salary_range_mid_lpa,salary_range_max_lpa,prob_salary_gt_2_lpa,prob_salary_gt_5_lpa,prob_salary_gt_10_lpa,prob_salary_gt_15_lpa,prob_salary_gt_20_lpa,prob_salary_gt_25_lpa,prob_salary_gt_30_lpa,prob_salary_gt_35_lpa,prob_salary_gt_40_lpa,predicted_job_role,recommended_companies,is_low_probability_case,low_probability_report_json
200000,99.23,29.46,20.62,29.46,38.3,98.8,96.9,92.6,91.5,91.1,48.8,6.4,3.6,0.9,SDE,"Mindtree,Walmart Global Tech,Zoho,Wipro,Bosch,Adobe,Intel,L&T Infotech,TCS,Dell",,
200051,5.0,6.54,4.58,6.54,8.5,80.8,52.3,1.3,0.4,0.3,0.3,0.2,0.2,0.1,Analyst,"Wipro,Tech Mahindra,CGI,Birlasoft,Sopra Steria",True,"{""current_probability_pct"": 5, ""data_snapshot"": {""aptitude_score"": 45, ""cgpa"": 7, ""cs_fundamentals_score"": 50, ""dsa_score"": 8.85, ""hr_score"": 30.52, ""project_score"": 23, ""resume_ats_score"": 87, ""soft_skill_average"": 37.76, ""technical_average"": 27.28}, ""final_note"": ""If you implement these changes consistently, your prediction can improve in the next update cycle."", ""is_low_probability_case"": true, ""practical_changes"": [{""action"": ""Practice 120 structured DSA problems and complete CS fundamentals revision with weekly coding mocks."", ""focus_area"": ""Technical Foundation"", ""target"": ""Raise technical average to 60+"", ""timeline"": ""6-8 weeks""}, {""action"": ""Take timed aptitude practice and 10 mock HR answers using STAR format with mentor feedback."", ""focus_area"": ""Aptitude and HR"", ""target"": ""Raise soft-skill average to 55+"", ""timeline"": ""4-6 weeks""}, {""action"": ""Follow a company-focused roadmap: arrays/strings, trees, graphs, DP; attempt 5 timed problems daily."", ""focus_area"": ""DSA"", ""target"": ""Raise DSA score to 70+"", ""timeline"": ""8-10 weeks""}, {""action"": ""Upgrade 2 projects with deployment, measurable outcomes, and clear architecture explanation."", ""focus_area"": ""Projects"", ""target"": ""Raise project score to 70+"", ""timeline"": ""4-6 weeks""}], ""reasons"": [{""current"": 27.28, ""gap"": 32.72, ""impact"": ""High"", ""parameter"": ""Technical Foundation (DSA + Projects + CS Fundamentals)"", ""target"": 60, ""why_it_matters"": ""Low technical depth significantly reduces shortlisting and coding-round conversion.""}, {""current"": 8.85, ""gap"": 61.15, ""impact"": ""High"", ""parameter"": ""DSA Score"", ""target"": 70, ""why_it_matters"": ""DSA heavily influences online assessments and technical interview rounds.""}, {""current"": 37.76, ""gap"": 17.24, ""impact"": ""Medium"", ""parameter"": ""Aptitude and HR Readiness"", ""target"": 55, ""why_it_matters"": ""Weak aptitude/HR readiness lowers performance in screening and interview rounds.""}, {""current"": 23, ""gap"": 47, ""impact"": ""Medium"", ""parameter"": ""Project Quality"", ""target"": 70, ""why_it_matters"": ""Low-impact projects weaken profile credibility during resume and interview discussion.""}], ""summary"": ""Your placement probability is currently below 30% because one or more core profile factors are below practical hiring expectations. Improve the high-impact gaps first."", ""threshold_pct"": 30}"
200001,80.23,6.12,4.29,6.12,7.96,90.8,77.1,0.6,0.4,0.3,0.3,0.2,0.2,0.1,Analyst,"Birlasoft,CGI,Birlasoft,Reliance Jio,Sopra Steria",False,"{""confidence_reliability"": {""available"": true, ""confidence_label"": ""Medium"", ""distance_normalized"": 0.587, ""nearest_profile_distance"": 3.552, ""reason"": ""Strong similarity with benchmark profiles used during model learning."", ""uncertainty_pct"": 11.8}, ""current_probability_pct"": 80.23, ""data_snapshot"": {""aptitude_score"": 38.82, ""cgpa"": 7, ""cs_fundamentals_score"": 50, ""dsa_score"": 45.66, ""hr_score"": 79.98, ""project_score"": 65.66, ""resume_ats_score"": 56.61, ""soft_skill_average"": 59.4, ""technical_average"": 53.77}, ""final_note"": ""If you implement these changes consistently, your prediction can improve in the next update cycle."", ""is_low_probability_case"": false, ""peer_comparison"": {""available"": true, ""bottom_bucket_statement"": ""You are currently in the bottom 61.0% for technical score among benchmark students."", ""student_percentiles"": {""dsa_percentile"": 27.85, ""project_percentile"": 89.78, ""technical_percentile"": 60.95}, ""top_25_percent_thresholds"": {""dsa_score_q75"": 65, ""project_score_q75"": 56.59, ""technical_score_q75"": 58.27}}, ""practical_changes"": [{""action"": ""Follow a company-focused roadmap: arrays/strings, trees, graphs, DP; attempt 5 timed problems daily."", ""focus_area"": ""DSA"", ""target"": ""Raise DSA score to 70+"", ""timeline"": ""8-10 weeks""}], ""projected_improvement"": {""available"": true, ""changes_assumed"": {""dsa_score"": {""current"": 45.66, ""projected"": 50}, ""project_score"": {""current"": 65.66, ""projected"": 65.66}}, ""placement_probability"": {""current"": 80.23, ""delta"": 5.5, ""projected"": 85.73}, ""predicted_salary_lpa"": {""current"": 6.12, ""delta"": 1.29, ""projected"": 7.41}, ""simulation_note"": ""Projected values are scenario-based estimates using the same model pipeline, not guaranteed outcomes.""}, ""reasons"": [{""current"": 45.66, ""gap"": 24.34, ""impact"": ""High"", ""parameter"": ""DSA Score"", ""target"": 70, ""why_it_matters"": ""DSA heavily influences online assessments and technical interview rounds.""}], ""risk_alerts"": [{""risk"": ""Resume shortlisting risk due to limited project evidence."", ""severity"": ""Critical"", ""title"": ""No project depth""}], ""summary"": ""Your probability is not in the low band."", ""threshold_pct"": 30}"
200007,5.0,6.320000172,4.420000076,6.320000172,8.210000038,81.09999847,52.79999924,1.200000048,0.5,0.400000006,0.400000006,0.300000012,0.200000003,0.100000001,Analyst,"Birlasoft,Wipro,TCS,HCL,Cybage",,
200005,85.44,6.800000191,4.76,6.800000191,8.84,82.4,55.6,4.2,3.2,2.3,2.0,1.6,1.1,0.6,Analyst,"HCL,Infosys,Wipro,Dell,Sopra Steria",,
200070,28.85,5.41,3.79,5.41,7.04,76.3,41.0,1.8,1.5,1.3,1.1,0.9,0.6,0.3,Support,"Tech Mahindra,Zensar,Zensar,Tech Mahindra,TCS",True,"{""current_probability_pct"": 28.85, ""data_snapshot"": {""aptitude_score"": 96, ""cgpa"": 7, ""cs_fundamentals_score"": 50, ""dsa_score"": 8.85, ""hr_score"": 29.96, ""project_score"": 74.5, ""resume_ats_score"": 85, ""soft_skill_average"": 62.98, ""technical_average"": 44.45}, ""final_note"": ""If you implement these changes consistently, your prediction can improve in the next update cycle."", ""is_low_probability_case"": true, ""practical_changes"": [{""action"": ""Follow a company-focused roadmap: arrays/strings, trees, graphs, DP; attempt 5 timed problems daily."", ""focus_area"": ""DSA"", ""target"": ""Raise DSA score to 70+"", ""timeline"": ""8-10 weeks""}], ""reasons"": [{""current"": 8.85, ""gap"": 61.15, ""impact"": ""High"", ""parameter"": ""DSA Score"", ""target"": 70, ""why_it_matters"": ""DSA heavily influences online assessments and technical interview rounds.""}], ""summary"": ""Your placement probability is currently below 30% because one or more core profile factors are below practical hiring expectations. Improve the high-impact gaps first."", ""threshold_pct"": 30}"
200071,28.85,5.41,3.79,5.41,7.03,77.3,43.1,2.1,1.7,1.4,1.2,1.0,0.7,0.3,Support,"Zensar,Tech Mahindra,Tech Mahindra,Zensar,CGI",,
200061,28.85,5.41,3.79,5.41,7.03,78.2,45.6,1.9,1.6,1.4,1.2,1.0,0.7,0.3,Support,"Zensar,CGI,Tech Mahindra,Tech Mahindra,Tech Mahindra",,
200065,95.81,29.5,20.65,29.5,38.35,97.8,94.6,91.2,90.1,87.2,53.1,19.1,10.6,2.2,SDE,"KPMG,Swiggy,Tech Mahindra,Wipro,Dell",,
200006,95.81,27.74,19.42,27.74,36.06,97.3,93.3,90.0,88.8,86.0,53.6,21.1,12.3,3.4,SDE,"KPMG,Dell,KPMG,Tech Mahindra,Swiggy",,
200004,5.0,6.18,4.32,6.18,8.03,82.7,56.8,1.9,0.7,0.5,0.4,0.3,0.2,0.1,Support,"HCL,Tech Mahindra,Tech Mahindra,Zensar,HCL",True,"{""confidence_reliability"": {""available"": true, ""confidence_label"": ""Medium"", ""distance_normalized"": 0.773, ""nearest_profile_distance"": 7.814, ""reason"": ""Moderate similarity with benchmark profiles used during model learning."", ""uncertainty_pct"": 12.9}, ""current_probability_pct"": 5, ""data_snapshot"": {""aptitude_score"": 78, ""cgpa"": 7, ""cs_fundamentals_score"": 50, ""dsa_score"": 8.85, ""hr_score"": 30.42, ""project_score"": 0, ""resume_ats_score"": 87, ""soft_skill_average"": 54.21, ""technical_average"": 19.62}, ""final_note"": ""If you implement these changes consistently, your prediction can improve in the next update cycle."", ""is_low_probability_case"": true, ""peer_comparison"": {""available"": true, ""bottom_bucket_statement"": ""You are currently in the bottom 0.2% for technical score among benchmark students."", ""student_percentiles"": {""dsa_percentile"": 0.22, ""project_percentile"": 0.1, ""technical_percentile"": 0.25}, ""top_25_percent_thresholds"": {""dsa_score_q75"": 65, ""project_score_q75"": 56.59, ""technical_score_q75"": 58.27}}, ""practical_changes"": [{""action"": ""Practice 120 structured DSA problems and complete CS fundamentals revision with weekly coding mocks."", ""focus_area"": ""Technical Foundation"", ""target"": ""Raise technical average to 60+"", ""timeline"": ""6-8 weeks""}, {""action"": ""Follow a company-focused roadmap: arrays/strings, trees, graphs, DP; attempt 5 timed problems daily."", ""focus_area"": ""DSA"", ""target"": ""Raise DSA score to 70+"", ""timeline"": ""8-10 weeks""}, {""action"": ""Upgrade 2 projects with deployment, measurable outcomes, and clear architecture explanation."", ""focus_area"": ""Projects"", ""target"": ""Raise project score to 70+"", ""timeline"": ""4-6 weeks""}], ""projected_improvement"": {""available"": true, ""changes_assumed"": {""dsa_score"": {""current"": 8.85, ""projected"": 50}, ""project_score"": {""current"": 0, ""projected"": 60}}, ""placement_probability"": {""current"": 5, ""delta"": 77.08, ""projected"": 82.08}, ""predicted_salary_lpa"": {""current"": 6.18, ""delta"": 0.56, ""projected"": 6.74}, ""simulation_note"": ""Projected values are scenario-based estimates using the same model pipeline, not guaranteed outcomes.""}, ""reasons"": [{""current"": 19.62, ""gap"": 40.38, ""impact"": ""High"", ""parameter"": ""Technical Foundation (DSA + Projects + CS Fundamentals)"", ""target"": 60, ""why_it_matters"": ""Low technical depth significantly reduces shortlisting and coding-round conversion.""}, {""current"": 8.85, ""gap"": 61.15, ""impact"": ""High"", ""parameter"": ""DSA Score"", ""target"": 70, ""why_it_matters"": ""DSA heavily influences online assessments and technical interview rounds.""}, {""current"": 0, ""gap"": 70, ""impact"": ""Medium"", ""parameter"": ""Project Quality"", ""target"": 70, ""why_it_matters"": ""Low-impact projects weaken profile credibility during resume and interview discussion.""}], ""risk_alerts"": [{""risk"": ""High rejection probability in OA and coding rounds."", ""severity"": ""Critical"", ""title"": ""DSA score below 10""}, {""risk"": ""Resume shortlisting risk due to limited project evidence."", ""severity"": ""Critical"", ""title"": ""No project depth""}], ""summary"": ""Your placement probability is currently below 30% because one or more core profile factors are below practical hiring expectations. Improve the high-impact gaps first."", ""threshold_pct"": 30}"
